company_role_key,permission_key,configuration
Ottom_Admin,SeeCompanyUsersPermissionPlugin,
Spryker_Admin,SeeCompanyUsersPermissionPlugin,
test-company_Admin,SeeCompanyUsersPermissionPlugin,
trial-company_Admin,SeeCompanyUsersPermissionPlugin,
proof-company_Admin,SeeCompanyUsersPermissionPlugin,
BoB-Hotel-Jim_Admin,SeeCompanyUsersPermissionPlugin,
BoB-Hotel-Kudamm_Admin,SeeCompanyUsersPermissionPlugin,
BoB-Hotel-Mitte_Admin,SeeCompanyUsersPermissionPlugin,
BoB-Regular_Admin,SeeCompanyUsersPermissionPlugin,
test-company_Admin,SeeCompanyUsersPermissionPlugin,
test-company-2_Admin,SeeCompanyUsersPermissionPlugin,
restricted-company-1_Admin,SeeCompanyUsersPermissionPlugin,
restricted-company-2_Admin,SeeCompanyUsersPermissionPlugin,
Ottom_Admin,CreateMerchantRelationRequestPermissionPlugin,
Spryker_Admin,CreateMerchantRelationRequestPermissionPlugin,
test-company_Admin,CreateMerchantRelationRequestPermissionPlugin,
trial-company_Admin,CreateMerchantRelationRequestPermissionPlugin,
proof-company_Admin,CreateMerchantRelationRequestPermissionPlugin,
BoB-Hotel-Jim_Admin,CreateMerchantRelationRequestPermissionPlugin,
BoB-Hotel-Kudamm_Admin,CreateMerchantRelationRequestPermissionPlugin,
BoB-Hotel-Mitte_Admin,CreateMerchantRelationRequestPermissionPlugin,
BoB-Regular_Admin,CreateMerchantRelationRequestPermissionPlugin,
test-company_Admin,CreateMerchantRelationRequestPermissionPlugin,
test-company-2_Admin,CreateMerchantRelationRequestPermissionPlugin,
restricted-company-1_Admin,CreateMerchantRelationRequestPermissionPlugin,
restricted-company-2_Admin,CreateMerchantRelationRequestPermissionPlugin,
